# Generated from ../data/13JUL2013/000.dat
time v v_c
21.69 1.12238 2
21.695 1.12678 2
21.7 1.12998 2
21.705 1.1426 2
21.71 1.14904 2
21.715 1.15374 2
21.72 1.16744 2
21.725 1.1644 2
21.73 1.16492 2
21.735 1.1756 2
21.74 1.18062 2
21.745 1.19458 2
21.75 1.20198 2
21.755 1.20739 2
21.76 1.20103 2
21.765 1.20945 2
21.77 1.2231 2
21.775 1.22003 2
21.78 1.22053 2
21.785 1.23119 2
21.79 1.23619 2
21.795 1.25014 2
21.8 1.24725 2
21.805 1.24791 2
21.81 1.25866 2
21.815 1.26376 2
21.82 1.26747 2
21.825 1.28046 2
21.83 1.27688 2
21.835 1.28732 2
21.84 1.28188 2
21.845 1.29096 2
21.85 1.29482 2
21.855 1.30793 2
21.86 1.30443 2
21.865 1.30464 2
21.87 1.31507 2
21.875 1.31994 2
21.88 1.32347 2
21.885 1.33634 2
21.89 1.33267 2
21.895 1.34304 2
21.9 1.34784 2
21.905 1.35135 2
21.91 1.35389 2
21.915 1.35576 2
21.92 1.35711 2
21.925 1.36839 2
21.93 1.37384 2
21.935 1.37783 2
21.94 1.38073 2
21.945 1.39313 2
21.95 1.38913 2
21.955 1.39925 2
21.96 1.40387 2
21.965 1.40725 2
21.97 1.41998 2
21.975 1.41624 2
21.98 1.41624 2
21.985 1.42655 2
21.99 1.43129 2
21.995 1.44504 2
22 1.44202 2
22.005 1.44258 2
22.01 1.45325 2
22.015 1.4583 2
22.02 1.46196 2
22.025 1.45436 2
22.03 1.46183 2
22.035 1.46455 2
22.04 1.46651 2
22.045 1.47825 2
22.05 1.48403 2
22.055 1.48826 2
22.06 1.49133 2
22.065 1.49358 2
22.07 1.4952 2
22.075 1.50668 2
22.08 1.502 2
22.085 1.50135 2
22.09 1.50086 2
22.095 1.51081 2
22.1 1.51529 2
22.105 1.51857 2
22.11 1.52095 2
22.115 1.5227 2
22.12 1.53424 2
22.125 1.53992 2
22.13 1.54404 2
22.135 1.54705 2
22.14 1.54924 2
22.145 1.55084 2
22.15 1.552 2
22.155 1.55285 2
22.16 1.55346 2
22.165 1.56421 2
22.17 1.55899 2
22.175 1.57852 2
22.18 1.57695 2
22.185 1.58886 2
22.19 1.59477 2
22.195 1.59909 2
22.2 1.60223 2
22.205 1.60452 2
22.21 1.60618 2
22.215 1.60741 2
22.22 1.60828 2
22.225 1.60894 2
22.23 1.61968 2
22.235 1.6145 2
22.24 1.62373 2
22.245 1.62773 2
22.25 1.63063 2
22.255 1.63276 2
22.26 1.63429 2
22.265 1.64571 2
22.27 1.64098 2
22.275 1.65058 2
22.28 1.64453 2
22.285 1.64288 2
22.29 1.64166 2
22.295 1.64079 2
22.3 1.65043 2
22.305 1.65472 2
22.31 1.65783 2
22.315 1.66011 2
22.32 1.66176 2
