# Generated from ../data/13JUL2013/007.dat
freq T_s gyro_x steer v
0 1 0.0169677 0.0235679 27.0319
0.3998 1 0.154227 0.0418084 0.533703
0.7996 1 0.0590391 0.0115812 0.191623
1.1994 1 0.0626123 0.0107923 0.146642
1.5992 1 0.0696335 0.0114445 0.30187
1.999 1 0.0309259 0.0211705 0.441289
2.3988 1 0.0703101 0.0384293 0.12204
2.7986 1 0.060955 0.0143837 0.108916
3.1984 1 0.0514533 0.0172592 0.107312
3.5982 1 0.0473564 0.0248289 0.0727836
3.998 1 0.060507 0.0248023 0.263347
4.3978 1 0.0539183 0.0309113 0.193669
4.7976 1 0.0452081 0.0290784 0.0993269
5.1974 1 0.0656476 0.0116406 0.579855
5.5972 1 0.0549384 0.0138993 0.118174
5.997 1 0.0456151 0.037726 0.195022
6.3968 1 0.048831 0.0372872 0.0998346
6.7966 1 0.0674043 0.0159871 0.0960899
7.1964 1 0.0672249 0.0467692 0.068929
7.5962 1 0.0388012 0.0107399 0.048817
7.996 1 0.0477009 0.0324405 0.0930035
8.3958 1 0.0418808 0.0167969 0.0774632
8.7956 1 0.052005 0.0185106 0.0355738
9.1954 1 0.0437823 0.0572345 0.207542
9.5952 1 0.0558504 0.0146958 0.0366196
9.995 1 0.0550734 0.00628407 0.00723915
10.3948 1 0.0585051 0.00613738 0.00128271
10.7946 1 0.0600724 0.00681017 0.00433881
11.1944 1 0.0562904 0.00432385 0.0184826
11.5942 1 0.0605661 0.00272443 0.00910792
11.994 1 0.0564333 0.0021173 0.0173745
12.3938 1 0.0586114 0.00281893 0.00706703
12.7936 1 0.0390811 0.017476 0.110316
13.1934 1 0.0630994 0.00153587 0.0321185
13.5932 1 0.0539056 0.00843 0.0108084
13.993 1 0.0513104 0.011367 0.0361928
14.3928 1 0.0703292 0.00451917 0.0422588
14.7926 1 0.0655164 0.00178869 0.0198241
15.1924 1 0.0465268 0.0162951 0.177148
15.5922 1 0.0588695 0.00579178 0.0983408
15.992 1 0.0386573 0.0236901 0.100722
16.3918 1 0.0653408 0.00444342 0.110007
16.7916 1 0.0725056 0.00204654 0.171914
17.1914 1 0.0821564 0.0118649 0.474656
17.5912 1 0.0820292 0.00555783 0.216883
17.991 1 0.0728183 0.00931694 0.286509
18.3908 1 0.0982611 0.0177782 0.0788396
18.7906 1 0.0942694 0.0098697 0.0812641
19.1904 1 0.0777829 0.0109117 0.126743
19.5902 1 0.100341 0.0167205 0.164985
19.99 1 0.0548475 0.0137877 0.102644
20.3898 1 0.0952765 0.00773353 0.0311143
20.7896 1 0.104963 0.00999539 0.0485389
21.1894 1 0.0728566 0.00884932 0.0258065
21.5892 1 0.085723 0.00998384 0.0384632
21.989 1 0.0338136 0.0318576 0.141315
22.3888 1 0.0775135 0.0187663 0.0745277
22.7886 1 0.0882611 0.0223792 0.111119
23.1884 1 0.0656066 0.0567714 0.310139
23.5882 1 0.0724269 0.0108335 0.0916085
23.988 1 0.11338 0.0187534 0.204315
24.3878 1 0.0869186 0.01024 0.171524
24.7876 1 0.183439 0.0434754 0.223924
25.1874 1 0.0773228 0.0218689 0.265615
25.5872 1 0.074408 0.00855291 0.085244
25.987 1 0.0784824 0.016996 0.135419
26.3868 1 0.0898523 0.00960665 0.157329
26.7866 1 0.133087 0.0147738 0.326951
27.1864 1 0.147544 0.0188843 0.315724
27.5862 1 0.153127 0.0731721 0.547893
