# Generated from ../data/13JUL2013/000.dat
time T_rw T_rw_desired T_s T_s_desired
23.06 -19.9615 -19.9615 0.195201 0.195201
23.08 -19.2649 -19.2649 0.0109151 0.0109151
23.1 -18.0078 -18.0078 0.131603 0.131603
23.12 -18.0311 -18.0311 0.325692 0.325692
23.14 -17.665 -17.665 0.0485261 0.0485261
23.16 -17.5641 -17.5641 0.113935 0.113935
23.18 -17.1628 -17.1628 0.402934 0.402934
23.2 -15.1893 -15.1893 0.177592 0.177592
23.22 -15.9494 -15.9494 -0.0431494 -0.0431494
23.24 -15.1831 -15.1831 0.212533 0.212533
23.26 -13.3908 -13.3908 0.0616523 0.0616523
23.28 -13.403 -13.403 -0.0317818 -0.0317818
23.3 -14.2976 -14.2976 0.270797 0.270797
23.32 -13.6615 -13.6615 0.212457 0.212457
23.34 -15.3468 -15.3468 0.081005 0.081005
23.36 -14.8844 -14.8844 0.169269 0.169269
23.38 -14.2072 -14.2072 0.231789 0.231789
23.4 -14.865 -14.865 0.13955 0.13955
23.42 -15.737 -15.737 0.10443 0.10443
23.44 -13.4054 -13.4054 0.0666129 0.0666129
23.46 -13.7983 -13.7983 0.0216339 0.0216339
23.48 -14.0505 -14.0505 0.148664 0.148664
23.5 -14.3153 -14.3153 0.114796 0.114796
23.52 -15.731 -15.731 0.094727 0.094727
23.54 -15.0095 -15.0095 0.147051 0.147051
23.56 -14.7745 -14.7745 0.0883113 0.0883113
23.58 -14.5269 -14.5269 -0.0289655 -0.0289655
23.6 -15.2836 -15.2836 0.053631 0.053631
23.62 -13.1026 -13.1026 0.0954364 0.0954364
23.64 -11.8236 -11.8236 0.0747687 0.0747687
23.66 -13.8607 -13.8607 0.132208 0.132208
23.68 -13.5716 -13.5716 0.060249 0.060249
23.7 -13.4918 -13.4918 0.0400904 0.0400904
23.72 -14.3611 -14.3611 0.256328 0.256328
23.74 -14.4254 -14.4254 0.0367642 0.0367642
23.76 -15.2706 -15.2706 -0.193159 -0.193159
23.78 -14.528 -14.528 0.184571 0.184571
23.8 -12.241 -12.241 0.196092 0.196092
23.82 -13.9943 -13.9943 -0.0430461 -0.0430461
23.84 -15.1554 -15.1554 0.107074 0.107074
23.86 -13.0876 -13.0876 0.288558 0.288558
23.88 -13.3716 -13.3716 -0.011048 -0.011048
23.9 -13.4533 -13.4533 -0.0353334 -0.0353334
23.92 -12.9631 -12.9631 0.186877 0.186877
23.94 -11.1037 -11.1037 0.06675 0.06675
23.96 -12.9773 -12.9773 0.170257 0.170257
23.98 -12.9735 -12.9735 0.188337 0.188337
24 -12.6424 -12.6424 -0.0156246 -0.0156246
24.02 -11.7263 -11.7263 0.122976 0.122976
24.04 -12.7839 -12.7839 0.299134 0.299134
24.06 -12.0789 -12.0789 -0.0429374 -0.0429374
24.08 -10.4903 -10.4903 0.0157317 0.0157317
24.1 -11.7333 -11.7333 0.308768 0.308768
24.12 -11.412 -11.412 0.0830892 0.0830892
24.14 -9.79163 -9.79163 -0.0490044 -0.0490044
