# Generated from ../data/13JUL2013/024.dat
freq T_s gyro_x steer v
0 1 0.00416705 0.081465 6.11288
0.1999 1 0.0156018 0.289103 0.0825718
0.3998 1 0.051735 0.200136 0.0393514
0.5997 1 0.0589381 0.197164 0.0030734
0.7996 1 0.0611105 0.156811 0.00893939
0.9995 1 0.051059 0.114279 0.0059109
1.1994 1 0.0443473 0.0791083 0.0115955
1.3993 1 0.0441518 0.0769184 0.00605548
1.5992 1 0.0432829 0.0706541 0.00631251
1.7991 1 0.0491134 0.152471 0.14175
1.999 1 0.0341769 0.070023 0.0189723
2.1989 1 0.0586811 0.138625 0.176316
2.3988 1 0.0325244 0.0488771 0.020343
2.5987 1 0.0126957 0.118223 0.0476519
2.7986 1 0.0423759 0.0496974 0.0203971
2.9985 1 0.0250324 0.0363955 0.0173808
3.1984 1 0.0151227 0.00210291 0.041587
3.3983 1 0.0138788 0.0170428 0.00973708
3.5982 1 0.0339098 0.0400027 0.021439
3.7981 1 0.0172124 0.00392156 0.0139213
3.998 1 0.0182712 0.0120779 0.0118131
4.1979 1 0.0262946 0.0194757 0.0160878
4.3978 1 0.0192694 0.00407454 0.013373
4.5977 1 0.0455913 0.0340492 0.040601
4.7976 1 0.0350346 0.0233346 0.0269007
4.9975 1 0.026441 0.0142067 0.0279301
5.1974 1 0.0252746 0.00983411 0.0263898
5.3973 1 0.0148019 0.0106033 0.0289826
5.5972 1 0.0148972 0.00603969 0.0202114
5.7971 1 0.018158 0.00318399 0.0169203
5.997 1 0.0234337 0.00917659 0.0148939
6.1969 1 0.0231309 0.00352864 0.0112614
6.3968 1 0.006044 0.00630459 0.0318652
6.5967 1 0.0214047 0.00467655 0.03135
6.7966 1 0.0114238 0.00256253 0.0155079
6.9965 1 0.014238 0.00754856 0.0234943
7.1964 1 0.0600101 0.0266479 0.0101563
7.3963 1 0.0210953 0.00512406 0.0118043
7.5962 1 0.0223678 0.00132853 0.000558151
7.7961 1 0.0220426 0.00715281 0.00247309
