# Generated from ../data/13JUL2013/000.dat
time steer_rate steer_rate_est
20 7.45058e-09 0
20.005 7.45058e-09 0
20.01 7.45058e-09 0
20.015 7.45058e-09 0
20.02 7.45058e-09 0
20.025 7.45058e-09 0
20.03 7.45058e-09 0
20.035 7.45058e-09 0
20.04 7.45058e-09 0
20.045 7.45058e-09 0
20.05 7.45058e-09 0
20.055 7.45058e-09 0
20.06 7.45058e-09 0
20.065 7.45058e-09 0
20.07 7.45058e-09 0
20.075 7.45058e-09 0
20.08 7.45058e-09 0
20.085 7.45058e-09 0
20.09 7.45058e-09 0
20.095 7.45058e-09 0
20.1 7.45058e-09 0
20.105 7.45058e-09 0
20.11 7.45058e-09 0
20.115 7.45058e-09 0
20.12 7.45058e-09 0
20.125 7.45058e-09 0
20.13 7.45058e-09 0
20.135 7.45058e-09 0
20.14 7.45058e-09 0
20.145 7.45058e-09 0
20.15 7.45058e-09 0
20.155 7.45058e-09 0
20.16 7.45058e-09 0
20.165 7.45058e-09 0
20.17 7.45058e-09 0
20.175 7.45058e-09 0
20.18 7.45058e-09 0
20.185 7.45058e-09 0
20.19 7.45058e-09 0
20.195 7.45058e-09 0
20.2 7.45058e-09 0
20.205 7.45058e-09 0
20.21 7.45058e-09 0
20.215 7.45058e-09 0
20.22 7.45058e-09 0
20.225 7.45058e-09 0
20.23 7.45058e-09 0
20.235 7.45058e-09 0
20.24 7.45058e-09 0
20.245 7.45058e-09 0
20.25 7.45058e-09 0
20.255 7.45058e-09 0
20.26 7.45058e-09 0
20.265 7.45058e-09 0
20.27 7.45058e-09 0
20.275 7.45058e-09 0
20.28 7.45058e-09 0
20.285 7.45058e-09 0
20.29 7.45058e-09 0
20.295 7.45058e-09 0
20.3 7.45058e-09 0
20.305 7.45058e-09 0
20.31 7.45058e-09 0
20.315 7.45058e-09 0
20.32 7.45058e-09 0
20.325 7.45058e-09 0
20.33 7.45058e-09 0
20.335 7.45058e-09 0
20.34 7.45058e-09 0
20.345 7.45058e-09 0
20.35 7.45058e-09 0
20.355 7.45058e-09 0
20.36 7.45058e-09 0
20.365 7.45058e-09 0
20.37 7.45058e-09 0
20.375 7.45058e-09 0
20.38 7.45058e-09 0
