# Generated from ../data/13JUL2013/000.dat
freq T_rw T_rw_desired T_s T_s_desired
17.6823 114.326 206.878 1 1
17.7822 60.7626 109.085 1 1
17.8821 256.332 450.937 1 1
17.982 66.6452 135.707 1 1
18.0819 95.637 162.849 1 1
18.1818 52.2175 121.076 1 1
18.2817 128.834 216.825 1 1
18.3816 49.2053 89.7055 1 1
18.4815 59.5362 113.193 1 1
18.5814 47.3673 98.7607 1 1
18.6813 123.089 229.273 1 1
18.7812 416.639 762.167 1 1
18.8811 67.6109 128.856 1 1
18.981 240.967 467.378 1 1
19.0809 63.029 112.192 1 1
19.1808 57.2759 109.673 1 1
19.2807 87.3962 158.464 1 1
19.3806 179.886 349.908 1 1
19.4805 102.644 184.42 1 1
19.5804 88.8506 170.661 1 1
19.6803 146.234 264.775 1 1
19.7802 86.6166 164.124 1 1
19.8801 100.206 179.03 1 1
19.98 124.622 231.002 1 1
20.0799 62.5345 118.32 1 1
20.1798 125.417 242.126 1 1
20.2797 72.4939 138.713 1 1
20.3796 160.82 303.051 1 1
20.4795 78.7858 148.637 1 1
20.5794 162.775 306.241 1 1
20.6793 168.054 314.802 1 1
20.7792 71.4346 130.167 1 1
20.8791 70.5055 127.587 1 1
20.979 83.7097 150.45 1 1
21.0789 93.7163 169.147 1 1
21.1788 29.9364 54.8615 1 1
21.2787 73.843 137.884 1 1
21.3786 117.76 224.738 1 1
21.4785 48.3206 92.5733 1 1
21.5784 69.9209 137.528 1 1
21.6783 203.422 403.546 1 1
21.7782 93.4353 179.402 1 1
21.8781 153.556 282.755 1 1
21.978 254.94 459.311 1 1
22.0779 109.619 193.044 1 1
22.1778 198.272 358.694 1 1
22.2777 107.277 193.227 1 1
22.3776 354.648 653.511 1 1
22.4775 89.4213 163.254 1 1
22.5774 373.571 714.002 1 1
22.6773 62.1018 117.757 1 1
22.7772 201.734 372.759 1 1
22.8771 151.695 302.916 1 1
22.977 103.367 191.85 1 1
23.0769 38.2597 76.9779 1 1
23.1768 281.268 514.195 1 1
23.2767 93.9004 181.21 1 1
23.3766 107.365 190.41 1 1
23.4765 108.985 183.718 1 1
23.5764 139.784 265.157 1 1
23.6763 134.344 242.573 1 1
23.7762 76.5361 144.721 1 1
23.8761 141.327 270.906 1 1
23.976 87.8812 160.714 1 1
24.0759 63.459 124.812 1 1
24.1758 169.639 317.127 1 1
24.2757 189.167 359.117 1 1
24.3756 125.507 220.733 1 1
24.4755 97.3606 183.758 1 1
24.5754 476.233 921.464 1 1
24.6753 135.441 256.263 1 1
24.7752 128.67 228.512 1 1
24.8751 74.0481 153.035 1 1
24.975 149.979 285.256 1 1
25.0749 89.5733 169.773 1 1
25.1748 96.0326 213.179 1 1
25.2747 203.929 362.008 1 1
25.3746 55.5781 124.636 1 1
25.4745 142.909 249.598 1 1
25.5744 100.578 177.448 1 1
25.6743 102.152 194.923 1 1
25.7742 97.1069 153.91 1 1
25.8741 132.464 264.89 1 1
25.974 186.011 328.168 1 1
26.0739 175.829 313.519 1 1
26.1738 104.001 196.157 1 1
26.2737 527.241 978.161 1 1
26.3736 156.553 258.39 1 1
26.4735 167.717 327.178 1 1
26.5734 170.601 280.261 1 1
26.6733 140.927 283.318 1 1
26.7732 56.6548 120.33 1 1
26.8731 134.586 231.349 1 1
26.973 286.119 504.226 1 1
27.0729 91.9918 167.489 1 1
27.1728 57.6291 101.745 1 1
27.2727 116.562 225.391 1 1
27.3726 255.341 461.843 1 1
27.4725 59.0133 124.435 1 1
27.5724 72.3302 132.391 1 1
27.6723 93.834 173.243 1 1
27.7722 107.188 214.934 1 1
27.8721 92.7968 161.292 1 1
27.972 288.75 492.538 1 1
28.0719 92.6093 174.626 1 1
28.1718 93.3679 190.75 1 1
28.2717 193.813 327.602 1 1
28.3716 94.6591 174.234 1 1
28.4715 58.6819 112.348 1 1
28.5714 72.7509 143.048 1 1
28.6713 86.1406 167.862 1 1
28.7712 69.6781 132.687 1 1
28.8711 66.275 123.485 1 1
28.971 130.487 228.162 1 1
