# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_rate_est
20 -0.000578188 0
20.005 0.000238295 0
20.01 0.0024288 0
20.015 0.00148425 0
20.02 -0.00134926 0
20.025 -0.000423853 0
20.03 0.0070108 0
20.035 0.00344701 0
20.04 -0.00134447 0
20.045 0.00539048 0
20.05 0.00564684 0
20.055 0.00413378 0
20.06 -0.000537976 0
20.065 0.00389131 0
20.07 0.00540901 0
20.075 0.00323988 0
20.08 0.00975753 0
20.085 0.00233086 0
20.09 0.00132067 0
20.095 0.00168501 0
20.1 0.00399724 0
20.105 0.00471908 0
20.11 0.00470252 0
20.115 0.00477895 0
20.12 0.00529415 0
20.125 0.00744972 0
20.13 0.00609988 0
20.135 0.0058353 0
20.14 0.00782726 0
20.145 0.00509632 0
20.15 0.00763172 0
20.155 0.00486016 0
20.16 0.00186905 0
20.165 0.00324933 0
20.17 0.00740808 0
20.175 0.00303509 0
20.18 0.00711817 0
20.185 0.0106107 0
20.19 0.00770119 0
20.195 0.00431752 0
20.2 0.00564286 0
20.205 0.00737758 0
20.21 0.00942697 0
20.215 0.00767883 0
20.22 0.00444571 0
20.225 0.010832 0
20.23 0.00856882 0
20.235 0.00508425 0
20.24 0.004844 0
20.245 0.00347731 0
20.25 0.00858151 0
20.255 0.00663347 0
20.26 0.00814051 0
20.265 0.00700127 0
20.27 0.00864939 0
20.275 0.00782545 0
20.28 0.00384219 0
20.285 0.00677742 0
20.29 0.0027644 0
20.295 0.00984738 0
20.3 0.00433223 0
20.305 0.00667253 0
20.31 0.00783192 0
20.315 0.00589226 0
20.32 0.00607141 0
20.325 0.0097833 0
20.33 0.00666178 0
20.335 0.00916467 0
20.34 0.00679076 0
20.345 0.00487239 0
20.35 0.0124908 0
20.355 0.0133551 0
20.36 0.00838999 0
20.365 0.00991701 0
20.37 0.0111642 0
20.375 0.0101252 0
20.38 0.00535097 0
20.385 0.00260752 0
20.39 0.00754155 0
20.395 0.0106861 0
20.4 0.00677945 0
20.405 0.0093465 0
20.41 0.00919419 0
20.415 0.0078725 0
20.42 0.00786265 0
20.425 0.00586182 0
20.43 0.00868187 0
20.435 0.009036 0
20.44 0.00649725 0
20.445 0.000804541 0
20.45 0.00857135 0
20.455 0.00757451 0
20.46 0.00714709 0
20.465 0.00656605 0
20.47 0.00456713 0
20.475 0.00490938 0
20.48 0.00330393 0
20.485 0.00519098 0
20.49 0.00407328 0
20.495 0.00578563 0
20.5 0.00623159 0
20.505 0.005475 0
20.51 0.00394355 0
20.515 0.00251705 0
20.52 0.00162881 0
20.525 0.00232103 0
20.53 0.00562143 0
20.535 0.00241246 0
20.54 0.00336855 0
20.545 0.00345313 0
20.55 0.00086273 0
20.555 4.15235e-05 0
20.56 0.0014372 0
20.565 0.000403813 0
20.57 0.00663347 0
20.575 0.00162628 0
20.58 0.00033371 0
20.585 0.00105355 0
20.59 -0.000470859 0
20.595 -0.00224172 0
20.6 0.00061629 0
20.605 -0.00164963 0
20.61 -0.00176473 0
20.615 -0.00126766 0
20.62 0.00153308 0
20.625 0.00348776 0
20.63 -0.0040897 0
20.635 -0.00017204 0
20.64 -0.00173606 0
20.645 -0.00154254 0
20.65 0.00255572 0
20.655 -0.00644623 0
20.66 -0.000560181 0
20.665 -0.000413056 0
20.67 -0.00254264 0
20.675 -0.000647361 0
20.68 -0.00221946 0
20.685 -0.00490808 0
20.69 -0.00822877 0
20.695 -0.00180544 0
20.7 -0.00837139 0
20.705 -0.0069027 0
20.71 -0.00760052 0
20.715 0.000360708 0
20.72 -0.00371794 0
20.725 -0.000682665 0
20.73 -0.00777593 0
20.735 -0.00587184 0
20.74 -0.00507939 0
20.745 -0.00775192 0
20.75 -0.00781515 0
20.755 -0.0011708 0
20.76 -0.00621347 0
20.765 -0.00241327 0
20.77 -0.00659 0
20.775 -0.00609447 0
20.78 -0.00561802 0
20.785 -0.00742029 0
20.79 -0.00305541 0
20.795 -0.00296317 0
20.8 -0.00562838 0
20.805 -0.00057171 0
20.81 -0.00845011 0
20.815 -0.00557416 0
20.82 -0.00935146 0
20.825 -0.0064933 0
20.83 -0.00904762 0
20.835 -0.00733287 0
20.84 -0.00228147 0
20.845 -0.00707318 0
20.85 -0.0040447 0
20.855 -0.0104507 0
20.86 -0.0105534 0
20.865 -0.0124035 0
20.87 -0.012128 0
20.875 -0.010083 0
20.88 -0.00921373 0
20.885 -0.0127439 0
20.89 -0.00896931 0
20.895 -0.00419673 0
20.9 -0.00269057 0
20.905 -0.0151468 0
20.91 -0.0194679 0
20.915 -0.00115405 0
20.92 -0.0269491 0
20.925 0.0220594 0
20.93 -0.0247204 0
20.935 -0.00730187 0
20.94 0.00914857 0
20.945 -0.0338708 0
20.95 0.0252775 0
20.955 -0.0307744 0
20.96 0.00918005 0
20.965 -0.0237136 0
20.97 -0.00364195 0
20.975 0.0166254 0
20.98 -0.0314471 0
20.985 0.0146621 0
20.99 -0.0239653 0
20.995 -0.00406873 0
21 0.00514044 0
21.005 -0.0233253 0
21.01 0.0101473 0
21.015 -0.0249415 0
21.02 -0.00311518 0
21.025 -0.00470216 0
21.03 -0.00583793 0
21.035 -0.00111429 0
21.04 -0.00477133 0
21.045 0.00139144 0
21.05 -0.00554379 0
21.055 0.00211361 0
21.06 -0.0120577 0
21.065 0.00368978 0
21.07 -0.0119702 0
21.075 -0.00276245 0
21.08 0.00979178 0
21.085 -0.0161533 0
21.09 0.0157903 0
21.095 -0.0158582 0
21.1 0.013341 0
21.105 -0.00264279 0
21.11 -0.00318643 0
21.115 0.0137527 0
21.12 -0.0188803 0
21.125 0.0157685 0
21.13 -0.00582001 0
21.135 0.00161975 0
21.14 0.00613028 0
21.145 -0.00535789 0
21.15 0.0154581 0
21.155 -0.0090891 0
21.16 0.012327 0
21.165 0.00604091 0
21.17 -0.00156831 0
21.175 0.0157524 0
21.18 -0.00957053 0
21.185 0.0086125 0
21.19 -0.000409092 0
21.195 0.00586931 0
21.2 0.00586249 0
21.205 0.00904464 0
21.21 0.00636621 0
21.215 0.00836452 0
21.22 0.00561929 0
21.225 0.00419507 0
21.23 0.00490486 0
21.235 -0.00726166 0
21.24 0.0103672 0
21.245 0.00184291 0
21.25 -0.0032024 0
21.255 0.00973202 0
21.26 -0.0045432 0
21.265 0.00828818 0
21.27 0.00380325 0
21.275 0.002402 0
21.28 0.00490672 0
21.285 -0.000395216 0
21.29 0.0071018 0
21.295 -0.00390386 0
21.3 -0.00647572 0
21.305 0.000641823 0
21.31 -0.00370147 0
21.315 0.00648804 0
21.32 -0.00266453 0
21.325 0.00112087 0
21.33 -0.00098895 0
21.335 0.0013064 0
21.34 0.00397579 0
21.345 -0.00578289 0
21.35 0.00429417 0
21.355 -0.00779821 0
21.36 -0.00363509 0
21.365 0.00246784 0
21.37 -0.00287155 0
21.375 0.000389724 0
21.38 -0.00219625 0
21.385 -0.00301178 0
21.39 -0.00299968 0
21.395 -0.00151257 0
21.4 -0.00475471 0
21.405 -0.0022724 0
21.41 0.00336076 0
21.415 -0.00467537 0
21.42 -0.00170709 0
21.425 -0.00295587 0
21.43 -0.000342418 0
21.435 -0.00784994 0
21.44 -0.000725785 0
21.445 0.00387066 0
21.45 -0.00287101 0
21.455 -0.000587533 0
21.46 0.00141037 0
21.465 -0.00616264 0
21.47 -0.00408663 0
21.475 -0.00526406 0
21.48 0.0011941 0
21.485 0.000854645 0
21.49 -0.000462481 0
21.495 -0.00242001 0
21.5 0.0028065 0
21.505 0.000113371 0
21.51 4.83749e-05 0
21.515 0.000350648 0
21.52 -0.00105301 0
21.525 0.00391135 0
21.53 0.00246298 0
21.535 0.00559696 0
21.54 0.0010712 0
21.545 0.00806269 0
21.55 0.00958451 0
21.555 0.00834584 0
21.56 0.011485 0
21.565 0.00888885 0
21.57 0.0159013 0
21.575 0.0165972 0
21.58 0.0209687 0
21.585 0.0161542 0
21.59 0.0156628 0
21.595 0.0182652 0
21.6 0.01479 0
21.605 0.0183479 0
21.61 0.0168895 0
21.615 0.0159012 0
21.62 0.0197894 0.0201988
21.625 0.0241078 0.0214165
21.63 0.0251478 0.0226565
21.635 0.0276486 0.0242067
21.64 0.0245714 0.0248819
21.645 0.0254676 0.0256204
21.65 0.032769 0.0277119
21.655 0.0280465 0.0285043
21.66 0.027087 0.0289632
21.665 0.0316223 0.0302591
21.67 0.0326041 0.0292614
21.675 0.0273173 0.0272694
21.68 0.0341132 0.0270626
21.685 0.0276622 0.025384
21.69 0.0273964 0.0239477
21.695 0.0210364 0.0214318
21.7 0.0220022 0.0196715
21.705 0.0261893 0.0190882
21.71 0.0161691 0.0164434
21.715 -0.00117721 0.0108789
21.72 0.0180535 0.0107937
21.725 0.0123478 0.00945792
21.73 0.0229416 0.0105506
21.735 0.0125031 0.00901862
21.74 0.00984443 0.00728675
21.745 0.0194622 0.00791192
21.75 0.0175719 0.00785317
21.755 0.0208942 0.00835977
21.76 0.0126653 0.00689786
21.765 0.00949408 0.0050253
21.77 0.0112164 0.00391378
21.775 -0.00577672 -0.000443767
21.78 -0.00160243 -0.00278579
21.785 0.0029521 -0.00362334
21.79 -0.00797409 -0.00652973
21.795 0.00263258 -0.00650065
21.8 -0.0150336 -0.0101363
21.805 0.00228085 -0.00922481
21.81 0.00438463 -0.0082342
21.815 -0.00139302 -0.0087791
21.82 0.00283164 -0.00837599
21.825 -0.0095383 -0.0107332
21.83 0.00326497 -0.00981042
21.835 -0.0116152 -0.0123248
