# Generated from ../data/13JUL2013/024.dat
freq T_s gyro_x steer v
0 1 0.00416705 0.081465 6.11288
0.049975 1 0.0301033 0.145267 0.137195
0.09995 1 0.0142283 0.248275 0.11546
0.149925 1 0.0485331 0.400051 0.126237
0.1999 1 0.0156018 0.289103 0.0825718
0.249875 1 0.0115819 0.470443 0.413238
0.29985 1 0.0508627 0.151218 0.154589
0.349825 1 0.043604 0.214782 0.0752673
0.3998 1 0.051735 0.200136 0.0393514
0.449775 1 0.034895 0.183001 0.0486218
0.49975 1 0.0577193 0.20352 0.00241352
0.549725 1 0.0567797 0.189586 0.00858851
0.5997 1 0.0589381 0.197164 0.0030734
0.649675 1 0.0595184 0.174839 0.0188482
0.69965 1 0.0581569 0.153489 0.0127656
0.749625 1 0.0539545 0.144254 0.0105089
0.7996 1 0.0611105 0.156811 0.00893939
0.849575 1 0.0531924 0.138452 0.00758487
0.89955 1 0.0509643 0.131652 0.00469764
0.949525 1 0.0533284 0.12026 0.00415526
0.9995 1 0.051059 0.114279 0.0059109
1.04948 1 0.0504598 0.10746 0.000235071
1.09945 1 0.0533643 0.0981005 0.00613256
1.14943 1 0.0483642 0.0970214 0.00354663
1.1994 1 0.0443473 0.0791083 0.0115955
1.24938 1 0.0417953 0.0874408 0.0135119
1.29935 1 0.0501695 0.0883646 0.00869717
1.34933 1 0.0501035 0.0782183 0.0111224
1.3993 1 0.0441518 0.0769184 0.00605548
1.44928 1 0.0448936 0.0770936 0.0031777
1.49925 1 0.0436131 0.0767128 0.000696116
1.54923 1 0.0421772 0.0712847 0.00328632
1.5992 1 0.0432829 0.0706541 0.00631251
1.64918 1 0.0394242 0.0610219 0.0037133
1.69915 1 0.0415969 0.0420696 0.00314775
1.74913 1 0.0372459 0.0558195 0.00845828
1.7991 1 0.0491134 0.152471 0.14175
1.84908 1 0.0392067 0.0686907 0.0120916
1.89905 1 0.0387476 0.0677555 0.0141727
1.94903 1 0.0345308 0.0420409 0.00349415
1.999 1 0.0341769 0.070023 0.0189723
2.04898 1 0.0418269 0.0526139 0.0130198
2.09895 1 0.0295112 0.0435781 0.00094283
2.14893 1 0.0317402 0.0401411 0.0131747
2.1989 1 0.0586811 0.138625 0.176316
