# Generated from ../data/13JUL2013/007.dat
time T_s gyro_x steer v
21 0.135178 0.00732083 -0.00251327 3.99778
21.02 0.116957 0.00765472 -0.00219911 4.01138
21.04 0.100264 0.00413403 -0.00188496 4.01163
21.06 0.0670768 -0.000882193 -0.0015708 4.00616
21.08 0.122572 0.00586875 -0.00188496 4.01374
21.1 0.144402 0.00722843 -0.00219911 4.00546
21.12 0.07155 -0.00754517 -0.00219911 4.00326
21.14 0.0454803 -0.000572771 -0.00251327 4.01386
21.16 0.141026 0.00239572 -0.00251327 4.00679
21.18 0.162503 0.00410539 -0.00282743 4.00363
21.2 0.0648374 0.000549362 -0.00345575 4.00022
21.22 0.102871 0.0018293 -0.00376991 3.99926
21.24 0.306636 0.0116447 -0.00345575 3.99424
21.26 0.210494 0.00332908 -0.00314159 3.99412
21.28 0.0572689 0.000402694 -0.00314159 4.00229
21.3 0.2525 0.00867568 -0.00314159 3.99984
21.32 0.297722 0.0106389 -0.00251327 3.99915
21.34 0.102656 0.004097 -0.00219911 4.00242
21.36 0.19714 0.00874781 -0.00219911 4.00239
21.38 0.326913 0.0116766 -0.00188496 3.99641
21.4 0.262026 0.00751592 -0.0015708 3.99819
21.42 0.123597 0.00651516 -0.00125664 3.98365
21.44 0.214487 0.0119976 -0.000942478 3.9781
21.46 0.227837 0.0042249 -0.000628319 3.97308
21.48 0.199127 0.00418665 -0.000314159 3.97642
21.5 0.219543 0.0122094 -0.000314159 3.97009
21.52 0.191811 0.00145007 -0.000314159 3.97557
21.54 0.11397 0.00168588 -0.000314159 3.97237
21.56 0.0789849 -0.00301318 0 3.98175
21.58 0.131943 0.00267974 0 3.96959
21.6 0.157756 0.00423477 0 3.95694
21.62 0.129957 -0.00404232 -0.000314159 3.95444
21.64 0.100118 -0.00317474 -0.000314159 3.95374
21.66 0.0920482 -0.00392598 -0.000628319 3.94879
21.68 0.165855 0.0026253 -0.000942478 3.96243
21.7 0.168108 -0.000558986 -0.000942478 3.96521
21.72 0.141996 0.000755682 -0.0015708 3.96945
21.74 0.1119 -0.00189226 -0.00188496 3.97791
21.76 0.302525 0.00753445 -0.00188496 3.98029
21.78 0.277752 0.000135503 -0.0015708 3.98996
21.8 0.0441649 -0.00984741 -0.00125664 3.99162
21.82 0.156802 0.00558836 -0.0015708 3.98403
21.84 0.300069 0.00607733 -0.00125664 3.9795
21.86 0.165519 -0.0074753 -0.000942478 3.98074
21.88 0.193396 -0.00223434 -0.000628319 3.98411
21.9 0.355141 0.012755 -0.000628319 3.98746
21.92 0.382164 0.013484 -0.000314159 3.98495
21.94 0.239561 0.00260035 0 3.97395
21.96 0.0564702 -0.0047328 0.000314159 3.97443
21.98 0.21848 0.00858078 0.000628319 3.9673
22 0.28663 0.00273424 0.00125664 3.96529
22.02 0.189437 -0.000731575 0.00125664 3.96473
22.04 0.170934 0.000368992 0.000942478 3.95428
22.06 0.205519 0.00436543 0.000942478 3.96017
22.08 0.111184 -0.00342664 0.00125664 3.953
22.1 0.0756262 -0.00484581 0.00125664 3.94952
22.12 0.101014 -0.00589826 0.00125664 3.94854
22.14 0.180779 0.00287624 0.000942478 3.95855
22.16 0.159521 -0.00440103 0.000942478 3.95002
22.18 0.160555 -0.00471342 0.000942478 3.95897
22.2 0.0502975 -0.0119381 0.000628319 3.96043
22.22 0.132185 -0.00599939 0.000314159 3.96084
22.24 0.237694 -0.00367013 0 3.96347
22.26 0.103099 -0.013485 -0.000314159 3.9617
22.28 0.0867991 -0.00812809 -0.000314159 3.96119
22.3 0.297109 0.00545486 -0.000314159 3.96103
22.32 0.218662 -0.00688291 -0.000314159 3.9507
22.34 0.0611882 -0.0113402 -0.000314159 3.95914
22.36 0.187155 -0.00369746 -0.000314159 3.96297
22.38 0.299125 0.000385459 0 3.96153
22.4 0.257072 -0.000186786 0.000314159 3.96842
22.42 0.23522 0.00114991 0.000628319 3.97381
22.44 0.284522 -0.00497752 0.000628319 3.96159
22.46 0.343524 0.00279562 0.000942478 3.96949
22.48 0.109908 -0.0130497 0.000942478 3.96383
22.5 0.141567 -0.0016131 0.00125664 3.95163
