# Generated from ../data/13JUL2013/024.dat
freq T_s gyro_x steer v
0 1 0.0148925 0.0636438 5.01969
0.1998 1 0.153728 0.721525 0.194855
0.3996 1 0.0914 0.337074 0.095525
0.599401 1 0.0435838 0.167336 0.00356782
0.799201 1 0.0755802 0.197558 0.0210714
0.999001 1 0.0548359 0.119221 0.00341271
1.1988 1 0.0464841 0.09545 0.00115974
1.3986 1 0.0480795 0.0997059 0.00725085
1.5984 1 0.0355636 0.0469378 0.00559174
1.7982 1 0.041035 0.0804356 0.00349885
1.998 1 0.045213 0.0987437 0.0135126
2.1978 1 0.0183476 0.0553096 0.0282532
2.3976 1 0.0328923 0.0646786 0.00502573
2.5974 1 0.0398276 0.0971752 0.0226408
2.7972 1 0.0453997 0.109659 0.0034333
2.997 1 0.0352033 0.0985335 0.0210707
3.1968 1 0.0323895 0.0767924 0.0205184
3.3966 1 0.0414844 0.0992968 0.00684667
3.5964 1 0.037168 0.108166 0.0400403
3.7962 1 0.0216937 0.0402174 0.00556127
3.996 1 0.0222074 0.0613851 0.00674259
4.1958 1 0.0427443 0.11231 0.0238351
4.3956 1 0.0197821 0.054619 0.00560052
4.5954 1 0.0272923 0.0494106 0.0269537
4.7952 1 0.0589164 0.114313 0.0554729
4.995 1 0.0118346 0.0475692 0.0198347
5.1948 1 0.02276 0.0427174 0.00441489
5.39461 1 0.0429657 0.0790592 0.0120748
5.59441 1 0.0161446 0.033654 0.00710271
5.79421 1 0.0273243 0.071341 0.0171869
5.99401 1 0.0310446 0.095202 0.024986
6.19381 1 0.0146123 0.0553749 0.00569484
6.39361 1 0.0165308 0.0434721 0.01125
6.59341 1 0.0147084 0.0397844 0.0111297
6.79321 1 0.016438 0.0373421 0.00716766
6.99301 1 0.0262679 0.046724 0.0083221
7.19281 1 0.0158998 0.0272223 0.00784202
7.39261 1 0.0123377 0.024527 0.00798325
7.59241 1 0.0175441 0.0364234 0.00690622
7.79221 1 0.0190505 0.0304167 0.00244193
7.99201 1 0.0152022 0.0342872 0.00569962
8.19181 1 0.0176883 0.024908 0.00122041
8.39161 1 0.0211429 0.0369244 0.00616977
8.59141 1 0.0111085 0.0291714 0.00410706
8.79121 1 0.021898 0.0234337 0.00148327
8.99101 1 0.0237436 0.01727 0.00388424
9.19081 1 0.0134009 0.0297025 0.00546872
9.39061 1 0.0174053 0.014554 0.00374518
9.59041 1 0.0250701 0.0331728 0.00139527
9.79021 1 0.0165867 0.0169332 0.00247125
9.99001 1 0.0175399 0.011063 0.00136078
10.1898 1 0.0248146 0.0175606 0.00208264
10.3896 1 0.0192527 0.0114538 0.00117684
10.5894 1 0.0209667 0.012794 0.001286
10.7892 1 0.0225997 0.0184367 0.00172323
10.989 1 0.0211466 0.0114635 0.00138802
11.1888 1 0.0199528 0.0173541 0.00133849
11.3886 1 0.0297216 0.0126015 0.00190169
