# Generated from ../data/13JUL2013/025.dat
freq T_s gyro_x steer v
0 1 0.00129822 0.0438696 12.2259
0.0499875 1 0.0638422 0.0672972 2.07622
0.099975 1 0.0298157 0.100877 0.860788
0.149962 1 0.0541449 0.0426088 0.693079
0.19995 1 0.0739062 0.0624612 0.178187
0.249937 1 0.116168 0.124783 0.168279
0.299925 1 0.114868 0.151673 0.135945
0.349912 1 0.105461 0.157492 0.112195
0.3999 1 0.115058 0.199261 0.119086
0.449887 1 0.111921 0.194489 0.143326
0.499875 1 0.109272 0.179033 0.275629
0.549862 1 0.0899162 0.149531 0.251817
0.59985 1 0.0899247 0.188671 0.308046
0.649837 1 0.117091 0.253975 0.282447
0.699825 1 0.111914 0.290814 0.432637
0.749812 1 0.0707126 0.110201 0.167844
0.7998 1 0.0712574 0.125313 0.119113
0.849787 1 0.0620687 0.118518 0.308137
0.899775 1 0.0469482 0.0898335 0.209719
0.949762 1 0.0344861 0.0858722 0.0802327
0.99975 1 0.110516 0.364961 0.593501
1.04974 1 0.199053 0.607964 0.886324
1.09972 1 1.08844 3.27924 9.81862
1.14971 1 0.0463054 0.291091 0.970073
1.1997 1 0.0498737 0.0596561 0.03567
1.24969 1 0.0400503 0.020763 0.161598
1.29967 1 0.0533831 0.0684826 0.220225
1.34966 1 0.0900276 0.356668 0.997839
1.39965 1 0.0659278 0.460776 0.686136
1.44964 1 0.0377226 0.235957 0.329961
1.49962 1 0.0858404 0.218919 0.379022
1.54961 1 0.117414 0.320586 0.421961
1.5996 1 0.0780746 0.17693 0.1928
1.64959 1 0.0522957 0.066579 0.148046
1.69957 1 0.0605825 0.102831 0.134206
1.74956 1 0.0596631 0.112539 0.16445
1.79955 1 0.00683971 0.161855 0.551859
1.84954 1 0.049558 0.0399995 0.120112
1.89952 1 0.0464815 0.0717326 0.298449
1.94951 1 0.0840691 0.188958 0.292508
1.9995 1 0.138526 0.403975 0.501158
2.04949 1 0.140833 0.411711 0.626315
2.09947 1 0.146108 0.522303 2.11447
2.14946 1 0.0695583 0.350561 0.85514
2.19945 1 0.19674 1.38475 4.43462
2.24944 1 0.0690491 0.138568 0.350633
2.29942 1 0.0212001 0.207893 0.646891
2.34941 1 0.0379509 0.106706 0.254069
2.3994 1 0.0196961 0.193245 0.479372
2.44939 1 0.0632298 0.117065 0.241531
2.49937 1 0.0602896 0.102582 0.226903
2.54936 1 0.0241242 0.0749135 0.168415
2.59935 1 0.0653564 0.150129 0.119352
2.64934 1 0.0501203 0.0803292 0.131456
2.69932 1 0.0231901 0.125067 0.478026
2.74931 1 0.0772908 0.288921 0.285808
2.7993 1 0.024994 0.0312126 0.260766
2.84929 1 0.045336 0.0650591 0.0617871
2.89927 1 0.029399 0.0797671 0.581643
2.94926 1 0.0573136 0.133136 0.625148
2.99925 1 0.0678869 0.205074 0.520198
3.04924 1 0.0342702 0.072661 0.0983543
3.09922 1 0.0394709 0.131234 0.133021
3.14921 1 0.0403455 0.0736442 0.0985642
3.1992 1 0.054596 0.0985011 0.0756271
3.24919 1 0.0361084 0.0823204 0.28159
3.29917 1 0.0448216 0.0598523 0.0814811
3.34916 1 0.0629386 0.148423 0.116359
3.39915 1 0.0377335 0.0650141 0.108544
3.44914 1 0.0360318 0.0696486 0.199874
3.49912 1 0.0195717 0.103101 0.280848
3.54911 1 0.0599785 0.154248 0.256265
3.5991 1 0.0302082 0.0215578 0.046442
3.64909 1 0.0286267 0.010692 0.037194
3.69907 1 0.032303 0.0154917 0.0321711
3.74906 1 0.0245923 0.0218224 0.0828245
3.79905 1 0.0433861 0.0467342 0.193675
3.84904 1 0.0375902 0.0664971 0.432671
3.89902 1 0.0270714 0.0497685 0.0920627
3.94901 1 0.0550527 0.112414 0.348084
3.999 1 0.0368251 0.069014 0.259221
4.04899 1 0.0157019 0.0637427 0.401262
4.09897 1 0.0534357 0.0965457 0.684553
4.14896 1 0.0497206 0.0717591 0.156904
4.19895 1 0.041547 0.0513235 0.264741
4.24894 1 0.0447337 0.0662401 0.422858
4.29892 1 0.0404235 0.0462871 0.186151
4.34891 1 0.0428247 0.0577855 0.22771
4.3989 1 0.03811 0.0377442 0.214064
4.44889 1 0.026947 0.0411245 0.342115
4.49887 1 0.0371642 0.0311145 0.115516
4.54886 1 0.0359478 0.0391085 0.0465892
4.59885 1 0.0294234 0.0309102 0.25168
4.64884 1 0.0326174 0.00799352 0.0382139
4.69882 1 0.0284026 0.0571707 0.288068
4.74881 1 0.0347624 0.124645 0.412137
4.7988 1 0.0302551 0.0244676 0.142607
4.84879 1 0.013389 0.125704 0.594169
4.89877 1 0.0178689 0.0753058 0.328279
4.94876 1 0.0341343 0.0825712 0.141953
4.99875 1 0.0402763 0.11766 0.203295
5.04874 1 0.0308438 0.0675889 0.252959
5.09872 1 0.0382597 0.0425377 0.250217
5.14871 1 0.011229 0.088252 0.39022
5.1987 1 0.0176253 0.0800914 0.260715
5.24869 1 0.051656 0.0936495 0.211249
5.29867 1 0.0410343 0.0448048 0.124351
5.34866 1 0.0389146 0.0483655 0.135336
5.39865 1 0.0355954 0.0287943 0.0555825
5.44864 1 0.0696973 0.183903 0.356187
5.49862 1 0.03565 0.0243389 0.046745
5.54861 1 0.036264 0.0312378 0.176483
5.5986 1 0.0313885 0.0184491 0.0840482
5.64859 1 0.0497297 0.0815827 0.2583
5.69857 1 0.0569404 0.10762 0.596734
5.74856 1 0.043171 0.0620273 0.084097
5.79855 1 0.0152839 0.0843261 0.215498
5.84854 1 0.030501 0.0438525 0.112641
5.89852 1 0.02488 0.0312386 0.0990915
5.94851 1 0.0320381 0.151416 0.643595
5.9985 1 0.0400013 0.0496531 0.0634572
6.04849 1 0.0361179 0.0264124 0.0688586
