# Generated from ../data/13JUL2013/025.dat
time T_s gyro_x steer v
40 0.0827364 -0.00830309 -0.0282743 2.0037
40.005 0.0962554 0.00185454 -0.0285885 2.01283
40.01 0.0562167 -0.00340758 -0.0285885 2.01673
40.015 0.0655491 0.000936586 -0.0285885 2.00929
40.02 0.118791 0.00585176 -0.0289027 2.00662
40.025 0.141129 0.00421276 -0.0292168 2.00467
40.03 0.194678 0.00814516 -0.0292168 2.00325
40.035 0.207171 0.0053087 -0.029531 2.0125
40.04 0.278413 0.0122383 -0.0298451 2.0165
40.045 0.292162 0.00845799 -0.0298451 2.00912
40.05 0.288109 0.00704024 -0.0298451 2.00649
40.055 0.227585 0.00105747 -0.0301593 2.01486
40.06 0.162615 -0.000851614 -0.0304734 2.01822
40.065 0.129242 0.00069105 -0.0304734 2.02066
40.07 0.120159 0.00258932 -0.0304734 2.01215
40.075 0.131909 0.00444606 -0.0304734 2.0087
40.08 0.0928839 -0.000455137 -0.0307876 2.00619
40.085 0.122238 0.0056468 -0.0307876 2.00435
40.09 0.218419 0.0133148 -0.0307876 2.01331
40.095 0.289383 0.0135723 -0.0307876 2.01708
40.1 0.321259 0.011739 -0.0307876 2.00955
40.105 0.281398 0.00514114 -0.0307876 2.0068
40.11 0.295294 0.00986191 -0.0311018 2.01509
40.115 0.297132 0.00918436 -0.0311018 2.01838
40.12 0.280306 0.00740448 -0.0311018 2.02078
40.125 0.304735 0.0114332 -0.0307876 2.01224
40.13 0.230093 0.00170176 -0.0307876 2.00877
40.135 0.176168 0.00188179 -0.0307876 2.00623
40.14 0.0767588 -0.00450196 -0.0311018 2.01468
40.145 0.057801 0.00122494 -0.0311018 2.01808
40.15 0.130076 0.0105135 -0.0314159 2.02056
40.155 0.125179 0.00434194 -0.0314159 2.02236
40.16 0.182615 0.0108638 -0.0314159 2.02368
40.165 0.177645 0.00583785 -0.0317301 2.03492
40.17 0.244455 0.0137326 -0.0317301 2.03009
40.175 0.267166 0.0109501 -0.0317301 2.0293
40.18 0.31142 0.0140354 -0.0317301 2.02874
40.185 0.34185 0.014082 -0.0317301 2.01803
40.19 0.299502 0.00716556 -0.0314159 2.01299
40.195 0.26205 0.00650928 -0.0314159 2.01959
40.2 0.154993 -0.00184096 -0.0314159 2.02166
40.205 0.135523 0.00463507 -0.0317301 2.02317
40.21 0.13145 0.00572552 -0.0317301 2.02427
40.215 0.104506 0.00315992 -0.0317301 2.02507
40.22 0.0782747 0.00218609 -0.0317301 2.03594
40.225 0.114136 0.00815408 -0.0317301 2.04111
40.23 0.24323 0.019448 -0.0317301 2.03459
40.235 0.263363 0.0114421 -0.0317301 2.03258
40.24 0.309786 0.01496 -0.0317301 2.03113
40.245 0.354629 0.016279 -0.0317301 2.03006
40.25 0.363819 0.0140067 -0.0317301 2.019
40.255 0.379638 0.0151324 -0.0317301 2.01369
40.26 0.295076 0.00512291 -0.0317301 2.00982
40.265 0.252371 0.00721322 -0.0317301 2.01729
40.27 0.15072 -0.000167277 -0.0317301 2.01999
40.275 0.107921 0.00321511 -0.0317301 2.02195
40.28 0.0332109 -0.00170039 -0.0317301 2.03367
40.285 0.0699129 0.0084969 -0.0320442 2.02916
40.29 0.11009 0.00977178 -0.0320442 2.02864
40.295 0.148062 0.0106565 -0.0320442 2.02825
40.3 0.227443 0.0163459 -0.0320442 2.01768
40.305 0.275671 0.0152487 -0.0320442 2.01273
40.31 0.423308 0.027258 -0.0320442 2.00912
40.315 0.445223 0.0183144 -0.0320442 2.00649
40.32 0.427736 0.0148641 -0.0317301 2.00458
40.325 0.377947 0.0111833 -0.0317301 2.01347
40.33 0.254714 0.0021497 -0.0317301 2.0172
40.335 0.204647 0.00636106 -0.0314159 2.01992
40.34 0.132855 0.00281833 -0.0314159 2.01161
40.345 0.149131 0.00993467 -0.0314159 2.01859
40.35 0.121387 0.00575832 -0.0314159 2.02094
40.355 0.189848 0.0153607 -0.0314159 2.01235
40.36 0.265046 0.0179594 -0.0314159 2.00885
40.365 0.339553 0.0199288 -0.0311018 2.00629
40.37 0.426821 0.0235332 -0.0311018 2.00443
40.375 0.44151 0.0185471 -0.0311018 2.00308
40.38 0.438937 0.0174367 -0.0311018 2.01238
40.385 0.398262 0.0135655 -0.0311018 2.0164
40.39 0.311039 0.00750508 -0.0307876 2.00905
40.395 0.212568 0.00394274 -0.0307876 2.01673
40.4 0.195939 0.00990339 -0.0307876 2.01958
40.405 0.187327 0.0102399 -0.0304734 2.01136
40.41 0.214541 0.0137833 -0.0304734 2.00813
40.415 0.232955 0.0136508 -0.0304734 2.00577
40.42 0.28907 0.0180534 -0.0301593 2.00405
40.425 0.40833 0.0264139 -0.0301593 2.0028
40.43 0.446573 0.0212532 -0.0298451 2.00189
40.435 0.483955 0.0225995 -0.0298451 2.01151
40.44 0.465697 0.0178694 -0.029531 2.01577
40.445 0.449307 0.0176606 -0.0292168 2.01888
40.45 0.41927 0.0158312 -0.0289027 2.02114
40.455 0.407683 0.0170085 -0.0285885 2.02279
40.46 0.30937 0.00745587 -0.0282743 2.02399
40.465 0.238373 0.0074965 -0.0279602 2.01458
40.47 0.201262 0.00916709 -0.0279602 2.01047
40.475 0.213534 0.0132105 -0.027646 2.00747
40.48 0.262829 0.0173329 -0.0273319 2.0053
40.485 0.2894 0.0164289 -0.0273319 2.01399
40.49 0.298471 0.0152629 -0.0270177 2.01758
40.495 0.311532 0.0158969 -0.0267035 2.02019
40.5 0.28513 0.0122391 -0.0267035 2.03239
40.505 0.331397 0.0191323 -0.0263894 2.02823
40.51 0.345702 0.0170144 -0.0260752 2.02796
40.515 0.384236 0.0201662 -0.0260752 2.02775
40.52 0.361339 0.0145791 -0.0257611 2.01732
40.525 0.315974 0.0115711 -0.0254469 2.01247
40.53 0.279051 0.0113009 -0.0254469 2.00893
40.535 0.359148 0.0225742 -0.0251327 2.00635
40.54 0.425031 0.0232936 -0.0248186 2.00448
40.545 0.438126 0.0197867 -0.0245044 2.0134
40.55 0.413938 0.0163676 -0.0245044 2.01715
