# Generated from ../data/13JUL2013/024.dat
time T_s gyro_x steer steer_rate v
21.66 4.51059 -0.0261616 0.0587478 0.571946 0.93213
21.68 -4.51059 -0.137632 0.0675442 0.410244 0.930502
21.7 -2.18049 0.0803807 0.0662876 0.000871897 0.936643
21.72 4.51059 0.112209 0.0750841 0.298005 0.942058
21.74 -1.84634 -0.23131 0.090792 0.685468 0.941064
21.76 -4.51059 -0.146415 0.0895354 0.202578 0.943303
21.78 4.51059 0.164662 0.0914203 0.264115 0.943934
21.8 4.51059 -0.0495366 0.102102 0.509907 0.944111
21.82 -4.51059 -0.165628 0.109013 0.319065 0.944161
21.84 -4.26512 0.0405824 0.106186 -0.0870037 0.944175
21.86 4.51059 0.0978104 0.111527 0.158793 0.944179
21.88 -2.5304 -0.257357 0.123465 0.503763 0.941661
21.9 -4.51059 -0.181408 0.120951 0.111525 0.943471
21.92 4.51059 0.171012 0.115296 -0.102509 0.943981
21.94 4.51059 -0.0443185 0.123779 0.268259 0.944125
21.96 -4.51059 -0.167155 0.125035 0.0674529 0.954451
21.98 -4.51059 0.0153583 0.117496 -0.302881 0.956298
22 4.51059 0.085395 0.116867 -0.0325627 0.946532
22.02 -4.14452 -0.265332 0.123779 0.219747 0.944843
22.04 -4.51059 -0.173895 0.115296 -0.216485 0.944367
22.06 3.03215 0.149481 0.0999026 -0.592212 0.939482
22.08 4.19716 -0.0541437 0.103987 -0.0606904 0.938104
22.1 -4.51059 -0.198071 0.0955044 -0.315574 0.932177
22.12 -4.51059 0.0344124 0.0785398 -0.748189 0.931569
22.14 4.51059 0.0929387 0.0703717 -0.430911 0.941684
22.16 -4.51059 -0.26834 0.0625177 -0.493354 0.943476
22.18 -4.51059 -0.119002 0.0471239 -0.71274 0.943982
22.2 2.7092 0.151936 0.0232478 -1.0204 0.948871
22.22 3.27682 -0.050014 0.0147655 -0.625272 0.950248
22.24 -4.51059 -0.167964 -0.00376991 -0.817889 0.945889
22.26 -4.51059 0.0768968 -0.0289027 -1.18659 0.944661
22.28 4.51059 0.114425 -0.0471239 -0.932398 0.944316
22.3 -4.51059 -0.184442 -0.0675442 -1.09058 0.944218
22.32 -4.51059 -0.0543079 -0.0914203 -1.19767 0.944191
22.34 4.14071 0.194173 -0.119695 -1.20762 0.954469
22.36 4.51059 0.00809874 -0.141058 -1.06985 0.946016
22.38 -4.51059 -0.0589738 -0.163363 -1.12752 0.944697
22.4 -2.72039 0.146856 -0.195093 -1.52546 0.944326
22.42 4.51059 0.207743 -0.217712 -1.23351 0.944221
22.44 -2.89328 -0.107431 -0.234991 -0.964195 0.939445
22.46 -4.51059 0.0107543 -0.264522 -1.28388 0.939388
22.48 4.51059 0.251698 -0.290911 -1.15396 0.932544
22.5 4.51059 0.099305 -0.312274 -1.03107 0.926931
22.52 -3.08262 0.0396627 -0.331752 -1.09121 0.940387
22.54 1.00582 0.226392 -0.353743 -1.14501 0.930312
22.56 4.51059 0.240719 -0.365996 -0.859137 0.941342
22.58 3.13032 0.0514609 -0.371022 -0.363441 0.937409
22.6 -1.32224 0.0829454 -0.378876 -0.367754 0.942279
22.62 4.51059 0.239866 -0.371965 0.168398 0.9389
22.64 4.51059 0.100714 -0.364425 0.366846 0.942694
22.66 -0.0697099 0.0548521 -0.354686 0.346014 0.954049
22.68 3.76207 0.177544 -0.337721 0.704208 0.945899
22.7 4.51059 0.153474 -0.316673 0.951674 0.944665
22.72 2.96804 0.0207579 -0.286827 1.377 0.947776
22.74 1.51709 0.0598894 -0.257611 1.45067 0.963685
22.76 4.51059 0.111064 -0.22431 1.61862 0.958899
22.78 4.51059 -0.0053664 -0.187239 1.82569 0.968275
22.8 0.413562 -0.0339805 -0.146084 1.97403 0.970916
22.82 3.33477 0.0569232 -0.103358 2.09859 0.97166
22.84 4.28072 -0.00261829 -0.0565487 2.27877 0.982156
22.86 0.438515 -0.100242 -0.0084823 2.36481 0.973764
22.88 -0.744051 -0.0737238 0.029531 2.03591 0.969004
22.9 2.24093 -0.0491784 0.0716283 2.09437 0.971121
22.92 1.4762 -0.113833 0.112155 2.05956 0.974237
22.94 -2.16309 -0.154046 0.146398 1.74659 0.96439
22.96 -1.22903 -0.098243 0.176243 1.51168 0.969822
22.98 0.954169 -0.0987205 0.199491 1.27232 0.97387
23 -1.471 -0.157349 0.218969 1.0381 0.957459
23.02 -3.41628 -0.151335 0.229965 0.678444 0.968932
23.04 -1.10123 -0.0928833 0.234677 0.352103 0.97362
23.06 -1.2437 -0.12268 0.235305 0.114815 0.962135
23.08 -3.38292 -0.135522 0.230907 -0.15686 0.970249
23.1 -2.76954 -0.0719438 0.216142 -0.609349 0.979677
23.12 -0.758167 -0.0541096 0.196664 -0.867678 0.974127
23.14 -2.20754 -0.0894462 0.178757 -0.88287 0.972564
23.16 -3.5782 -0.0745236 0.156765 -1.06638 0.987157
23.18 -1.20572 -0.00997372 0.128491 -1.33328 0.975172
23.2 -0.411508 -0.0167286 0.100217 -1.38168 0.969401
