# Generated from ../data/13JUL2013/007.dat
time T_s gyro_x steer v
21.58 0.131943 0.00267974 0 3.96959
21.585 0.128583 -0.000347605 0 3.97
21.59 0.12723 -0.00031369 0 3.96002
21.595 0.122785 -0.00107727 0 3.96578
21.6 0.157756 0.00423477 0 3.95694
21.605 0.190415 0.00514768 0 3.96354
21.61 0.17839 0.000236661 0 3.95531
21.615 0.167222 -0.000254351 0 3.96234
21.62 0.129957 -0.00404232 -0.000314159 3.95444
21.625 0.118329 -0.00217692 -0.000314159 3.96171
21.63 0.107883 -0.00258445 -0.000314159 3.95398
21.635 0.109148 -0.0016601 -0.000314159 3.96138
21.64 0.100118 -0.00317474 -0.000314159 3.95374
21.645 0.113448 -0.000702806 -0.000314159 3.9612
21.65 0.104355 -0.00341871 -0.000314159 3.95361
21.655 0.100409 -0.00292633 -0.000628319 3.95082
21.66 0.0920482 -0.00392598 -0.000628319 3.94879
21.665 0.072143 -0.00621398 -0.000628319 3.9576
21.67 0.106207 0.000844081 -0.000942478 3.95098
21.675 0.134728 0.00115843 -0.000942478 3.95919
21.68 0.165855 0.0026253 -0.000942478 3.96243
21.685 0.165522 -0.00056316 -0.000942478 3.96479
21.69 0.152619 -0.00229959 -0.000942478 3.95622
21.695 0.168668 0.00111716 -0.000942478 3.96301
21.7 0.168108 -0.000558986 -0.000942478 3.96521
21.705 0.171415 0.000323744 -0.00125664 3.96681
21.71 0.153161 -0.00258171 -0.00125664 3.96798
21.715 0.124406 -0.00485799 -0.00125664 3.96883
21.72 0.141996 0.000755682 -0.0015708 3.96945
21.725 0.142291 -0.00110889 -0.0015708 3.98019
21.73 0.124879 -0.00354661 -0.0015708 3.97498
21.735 0.108588 -0.00431207 -0.0015708 3.98422
21.74 0.1119 -0.00189226 -0.00188496 3.97791
21.745 0.150843 0.00298954 -0.00188496 3.98635
21.75 0.232752 0.0107226 -0.00188496 3.97947
21.755 0.286237 0.0101433 -0.00188496 3.98749
21.76 0.302525 0.00753445 -0.00188496 3.98029
21.765 0.342767 0.0114542 -0.0015708 3.98809
21.77 0.333808 0.00667453 -0.0015708 3.99102
21.775 0.337894 0.00860027 -0.0015708 3.98287
21.78 0.277752 0.000135503 -0.0015708 3.98996
21.785 0.239415 0.000995449 -0.0015708 3.99238
21.79 0.171391 -0.00494278 -0.00125664 3.99415
21.795 0.106305 -0.00732241 -0.00125664 3.98515
21.8 0.0441649 -0.00984741 -0.00125664 3.99162
21.805 0.0432417 -0.00371836 -0.0015708 3.98331
21.81 0.0657811 -0.000937768 -0.0015708 3.99028
21.815 0.102364 0.00168093 -0.0015708 3.99262
21.82 0.156802 0.00558836 -0.0015708 3.98403
21.825 0.229508 0.0103201 -0.0015708 3.98052
21.83 0.242668 0.00507492 -0.0015708 3.97797
21.835 0.301743 0.0117841 -0.00125664 3.98639
21.84 0.300069 0.00607733 -0.00125664 3.9795
21.845 0.30399 0.00666283 -0.000942478 3.98751
21.85 0.270549 0.00194117 -0.000942478 3.98031
21.855 0.254148 0.00312206 -0.000942478 3.9881
21.86 0.165519 -0.0074753 -0.000942478 3.98074
21.865 0.1756 0.00268227 -0.000942478 3.97813
21.87 0.166023 -8.52874e-05 -0.000628319 3.97622
21.875 0.235792 0.0106219 -0.000628319 3.97484
21.88 0.193396 -0.00223434 -0.000628319 3.98411
21.885 0.204519 0.00360623 -0.000628319 3.97784
21.89 0.25968 0.0101809 -0.000628319 3.9863
21.895 0.318394 0.0131907 -0.000628319 3.97943
21.9 0.355141 0.012755 -0.000628319 3.98746
21.905 0.365798 0.0110524 -0.000628319 3.98027
21.91 0.40437 0.0158342 -0.000628319 3.97779
21.915 0.363221 0.00671409 -0.000628319 3.97597
21.92 0.382164 0.013484 -0.000314159 3.98495
21.925 0.362972 0.00935959 -0.000314159 3.97844
21.93 0.37971 0.0136293 0 3.97645
21.935 0.281213 -0.00150565 0 3.975
21.94 0.239561 0.00260035 0 3.97395
21.945 0.158761 -0.00494783 0.000314159 3.98346
21.95 0.108824 -0.00409156 0.000314159 3.97736
21.955 0.0841638 -0.00291494 0.000314159 3.97567
21.96 0.0564702 -0.0047328 0.000314159 3.97443
21.965 0.103259 0.00418198 0.000314159 3.97353
21.97 0.143685 0.00452022 0.000628319 3.97287
21.975 0.164492 0.00326507 0.000628319 3.96211
21.98 0.21848 0.00858078 0.000628319 3.9673
21.985 0.260561 0.00874897 0.000942478 3.96834
21.99 0.261356 0.00473783 0.000942478 3.96909
21.995 0.315634 0.0124791 0.000942478 3.95935
22 0.28663 0.00273424 0.00125664 3.96529
22.005 0.250435 0.000676933 0.00125664 3.96687
22.01 0.20102 -0.00263242 0.00125664 3.96802
22.015 0.213557 0.0040488 0.00125664 3.95858
22.02 0.189437 -0.000731575 0.00125664 3.96473
22.025 0.196196 0.00253894 0.00125664 3.96646
22.03 0.199921 0.00228956 0.00125664 3.96772
22.035 0.176042 -0.00151582 0.00125664 3.95836
22.04 0.170934 0.000368992 0.000942478 3.95428
22.045 0.195951 0.00429001 0.000942478 3.95131
22.05 0.228376 0.00622825 0.000942478 3.95943
22.055 0.180966 -0.0037168 0.000942478 3.95232
22.06 0.205519 0.00436543 0.000942478 3.96017
22.065 0.177701 -0.00208359 0.000942478 3.96314
22.07 0.149202 -0.00345342 0.000942478 3.96531
22.075 0.115463 -0.00590234 0.00125664 3.9566
22.08 0.111184 -0.00342664 0.00125664 3.953
22.085 0.151219 0.00239693 0.00125664 3.95038
22.09 0.0997296 -0.00920897 0.00125664 3.95875
22.095 0.0672916 -0.00888023 0.00125664 3.95182
22.1 0.0756262 -0.00484581 0.00125664 3.94952
22.105 0.108874 -0.00133167 0.00125664 3.94784
22.11 0.134739 -0.00138809 0.00125664 3.95691
22.115 0.101782 -0.00880022 0.00125664 3.95048
22.12 0.101014 -0.00589826 0.00125664 3.94854
22.125 0.0779504 -0.0094026 0.00125664 3.94713
22.13 0.0997211 -0.00441463 0.00125664 3.95639
22.135 0.118227 -0.00378365 0.000942478 3.9501
22.14 0.180779 0.00287624 0.000942478 3.95855
22.145 0.173785 -0.00437534 0.000942478 3.95168
22.15 0.166313 -0.0049105 0.000942478 3.9597
22.155 0.157688 -0.0053863 0.000942478 3.95251
22.16 0.159521 -0.00440103 0.000942478 3.95002
22.165 0.174647 -0.00254927 0.000942478 3.94821
22.17 0.181422 -0.00327355 0.000942478 3.95718
22.175 0.157734 -0.00728419 0.000942478 3.95067
22.18 0.160555 -0.00471342 0.000942478 3.95897
22.185 0.1214 -0.0102049 0.000628319 3.95198
22.19 0.0969225 -0.0100333 0.000628319 3.95992
22.195 0.0685515 -0.0117562 0.000628319 3.95267
22.2 0.0502975 -0.0119381 0.000628319 3.96043
22.205 0.0510286 -0.00988089 0.000314159 3.95304
22.21 0.0853328 -0.0055918 0.000314159 3.9607
22.215 0.116648 -0.00472768 0.000314159 3.95324
22.22 0.132185 -0.00599939 0.000314159 3.96084
22.225 0.185394 0.000225435 0 3.96363
22.23 0.22926 0.00109288 0 3.96566
22.235 0.247389 -0.000531955 0 3.95685
22.24 0.237694 -0.00367013 0 3.96347
22.245 0.216412 -0.00511477 -0.000314159 3.95526
22.25 0.186973 -0.00715535 -0.000314159 3.96231
22.255 0.160532 -0.00784201 -0.000314159 3.95442
22.26 0.103099 -0.013485 -0.000314159 3.9617
22.265 0.108282 -0.00706943 -0.000314159 3.95397
22.27 0.104668 -0.00842774 -0.000314159 3.96137
22.275 0.0752794 -0.012316 -0.000314159 3.95373
22.28 0.0867991 -0.00812809 -0.000314159 3.96119
22.285 0.11377 -0.0055601 -0.000314159 3.9536
22.29 0.170598 -0.000533634 -0.000314159 3.96109
22.295 0.233909 0.00285859 -0.000314159 3.95352
22.3 0.297109 0.00545486 -0.000314159 3.96103
22.305 0.307831 0.00103315 -0.000314159 3.95348
22.31 0.332234 0.00364728 -0.000314159 3.961
22.315 0.25867 -0.00878956 -0.000314159 3.95345
22.32 0.218662 -0.00688291 -0.000314159 3.9507
22.325 0.200868 -0.00529146 -0.000314159 3.94869
22.33 0.100336 -0.0177979 -0.000314159 3.95752
22.335 0.0762884 -0.0112167 -0.000314159 3.95092
22.34 0.0611882 -0.0113402 -0.000314159 3.95914
22.345 0.0705276 -0.0087942 -0.000314159 3.96238
22.35 0.109913 -0.00445683 -0.000314159 3.96474
22.355 0.169459 -4.86091e-05 -0.000314159 3.95618
22.36 0.187155 -0.00369746 -0.000314159 3.96297
22.365 0.202878 -0.00311489 -0.000314159 3.95489
22.37 0.252766 0.00230833 -0.000314159 3.96203
22.375 0.288245 0.00225298 0 3.9542
22.38 0.299125 0.000385459 0 3.96153
22.385 0.286277 -0.00222023 0 3.96414
22.39 0.231919 -0.00836867 0 3.96603
22.395 0.238458 -0.00226662 0.000314159 3.96741
22.4 0.257072 -0.000186786 0.000314159 3.96842
22.405 0.284428 0.00196294 0.000314159 3.96915
22.41 0.287381 -0.000574247 0.000628319 3.97997
22.415 0.196031 -0.0134466 0.000628319 3.97482
22.42 0.23522 0.00114991 0.000628319 3.97381
22.425 0.231301 -0.0032442 0.000628319 3.97308
22.43 0.314968 0.0090026 0.000628319 3.97255
22.435 0.334351 0.0036505 0.000628319 3.97216
22.44 0.284522 -0.00497752 0.000628319 3.96159
22.445 0.298793 0.00217681 0.000628319 3.96692
22.45 0.329316 0.00529201 0.000628319 3.96806
22.455 0.346241 0.00454864 0.000942478 3.96889
22.46 0.343524 0.00279562 0.000942478 3.96949
22.465 0.289912 -0.0041878 0.000942478 3.96993
22.47 0.222631 -0.00815178 0.000942478 3.98054
22.475 0.178771 -0.00759268 0.000942478 3.97523
22.48 0.109908 -0.0130497 0.000942478 3.96383
22.485 0.0901487 -0.00968404 0.00125664 3.96855
22.49 0.0754353 -0.0100613 0.00125664 3.95896
22.495 0.0920238 -0.00664125 0.00125664 3.95472
22.5 0.141567 -0.0016131 0.00125664 3.95163
22.505 0.158384 -0.00480126 0.0015708 3.94938
22.51 0.179867 -0.0036095 0.0015708 3.94774
22.515 0.175756 -0.00654403 0.0015708 3.95683
22.52 0.188972 -0.00427952 0.0015708 3.95043
22.525 0.256708 0.00381522 0.0015708 3.95879
22.53 0.222777 -0.00765223 0.0015708 3.95185
22.535 0.233871 -0.00266088 0.0015708 3.94954
22.54 0.231813 -0.00404645 0.0015708 3.94786
22.545 0.234668 -0.00304005 0.00125664 3.94663
22.55 0.207358 -0.00718536 0.00125664 3.94574
22.555 0.196548 -0.00599475 0.00125664 3.94509
22.56 0.214589 -0.00238885 0.00125664 3.94461
22.565 0.201992 -0.00597363 0.00125664 3.93398
22.57 0.206753 -0.00414054 0.00125664 3.93927
22.575 0.167065 -0.0103114 0.00125664 3.94038
22.58 0.189473 -0.00285153 0.000942478 3.94118
22.585 0.158166 -0.00967029 0.000942478 3.94177
22.59 0.155922 -0.00704116 0.000942478 3.95248
22.595 0.14841 -0.00794356 0.000942478 3.94726
22.6 0.0817251 -0.0168901 0.000942478 3.94619
22.605 0.0928499 -0.00889761 0.000942478 3.94542
22.61 0.0741732 -0.0129207 0.000942478 3.93457
22.615 0.106044 -0.0069467 0.000942478 3.9397
22.62 0.0892098 -0.0128289 0.000942478 3.94069
22.625 0.0765633 -0.0132338 0.000942478 3.94141
22.63 0.096264 -0.00959099 0.000942478 3.95222
22.635 0.0869162 -0.0130567 0.000942478 3.94706
22.64 0.130997 -0.00629496 0.000942478 3.95634
22.645 0.116187 -0.0128922 0.000942478 3.95007
22.65 0.10155 -0.0137313 0.000942478 3.94824
22.655 0.103594 -0.0122151 0.000942478 3.94691
22.66 0.075257 -0.0167089 0.000942478 3.94594
22.665 0.122077 -0.00711099 0.000628319 3.94524
22.67 0.145619 -0.00868099 0.000628319 3.94472
22.675 0.158708 -0.00931916 0.000628319 3.94435
22.68 0.163899 -0.00998894 0.000628319 3.94408
22.685 0.106597 -0.0187605 0.000628319 3.94388
22.69 0.0977437 -0.0144301 0.000628319 3.94373
22.695 0.0577424 -0.0191113 0.000314159 3.94363
22.7 0.0626226 -0.0146888 0.000314159 3.94355
22.705 0.0452992 -0.0179693 0.000314159 3.94349
22.71 0.00120971 -0.022491 0 3.94345
22.715 0.0187837 -0.0154502 -0.000314159 3.93314
22.72 0.0337913 -0.0156753 -0.000314159 3.93865
22.725 0.0283772 -0.0177795 -0.000628319 3.92964
22.73 0.0280654 -0.0178062 -0.000628319 3.93611
22.735 0.095655 -0.00804212 -0.000942478 3.93807
22.74 0.133534 -0.00965571 -0.000942478 3.9395
22.745 0.148111 -0.0116194 -0.000942478 3.95083
22.75 0.157207 -0.0112748 -0.00125664 3.94605
22.755 0.156925 -0.0123915 -0.00125664 3.95561
22.76 0.180194 -0.00887326 -0.00125664 3.94954
22.765 0.186623 -0.00991054 -0.0015708 3.94787
22.77 0.177928 -0.0117081 -0.0015708 3.94665
22.775 0.177737 -0.0107861 -0.0015708 3.94576
22.78 0.153642 -0.0137693 -0.00188496 3.94511
22.785 0.12954 -0.0148682 -0.00188496 3.95493
22.79 0.126489 -0.0127587 -0.00188496 3.94904
22.795 0.107481 -0.0150088 -0.00219911 3.95779
22.8 0.0683878 -0.0188062 -0.00219911 3.9717
22.805 0.0728629 -0.014293 -0.00219911 3.96881
22.81 0.0800804 -0.0135823 -0.00251327 3.96944
22.815 0.120529 -0.00875778 -0.00251327 3.9699
22.82 0.214891 0.000456616 -0.00251327 3.97024
22.825 0.265642 -0.00147526 -0.00251327 3.9602
22.83 0.318908 0.00126762 -0.00251327 3.95563
22.835 0.347858 0.000343016 -0.00251327 3.96259
22.84 0.313173 -0.00683872 -0.00251327 3.95463
22.845 0.306122 -0.00404066 -0.00251327 3.96186
22.85 0.248368 -0.0110125 -0.00251327 3.95409
22.855 0.189527 -0.0137778 -0.00219911 3.96145
22.86 0.125554 -0.0168851 -0.00219911 3.97436
22.865 0.05518 -0.0203738 -0.00219911 3.97073
22.87 0.0358776 -0.0164848 -0.00219911 3.98112
22.875 0.0304899 -0.0154737 -0.00219911 3.97566
22.88 0.0646576 -0.0104947 -0.00219911 3.97443
22.885 0.0937976 -0.0100379 -0.00219911 3.97353
22.89 0.164084 -0.00302635 -0.00219911 3.96259
22.895 0.151449 -0.0118953 -0.00219911 3.95736
22.9 0.193019 -0.00486702 -0.00219911 3.96384
22.905 0.223606 -0.00457328 -0.00219911 3.96582
22.91 0.245319 -0.00438916 -0.00219911 3.96725
22.915 0.211886 -0.0110504 -0.00219911 3.9683
22.92 0.172944 -0.0131437 -0.00219911 3.97935
22.925 0.131206 -0.0149616 -0.00219911 3.97437
22.93 0.0870515 -0.0171205 -0.00219911 3.97348
22.935 0.145944 -0.00459392 -0.00219911 3.97284
22.94 0.17657 -0.00618998 -0.00219911 3.97237
22.945 0.185664 -0.00803883 -0.00219911 3.98232
22.95 0.141618 -0.0149195 -0.00219911 3.97653
22.955 0.178677 -0.00538287 -0.00219911 3.97506
22.96 0.215397 -0.00385496 -0.00219911 3.97399
22.965 0.245223 -0.00316999 -0.00219911 3.97321
22.97 0.249039 -0.00538799 -0.00219911 3.97264
22.975 0.260326 -0.00383697 -0.00219911 3.96194
22.98 0.283655 -0.00154955 -0.00219911 3.96718
22.985 0.351898 0.0059544 -0.00219911 3.97853
22.99 0.32909 -0.00345939 -0.00219911 3.97377
22.995 0.310768 -0.00337069 -0.00219911 3.97305
23 0.256635 -0.00881136 -0.00219911 3.97252
23.005 0.231467 -0.00710853 -0.00188496 3.97214
23.01 0.193227 -0.00984938 -0.00188496 3.97186
23.015 0.110358 -0.0176332 -0.00188496 3.96137
23.02 0.0840298 -0.0133389 -0.00188496 3.96676
23.025 0.0291235 -0.0182228 -0.00219911 3.95766
23.03 0.0540828 -0.00969541 -0.00219911 3.96406
23.035 0.0811429 -0.00887441 -0.00188496 3.95569
23.04 0.0937947 -0.0100821 -0.00188496 3.95234
23.045 0.140625 -0.00489711 -0.00188496 3.94989
23.05 0.188197 -0.00293304 -0.00188496 3.94812
23.055 0.193452 -0.00694892 -0.00188496 3.94682
23.06 0.253186 0.00109845 -0.00188496 3.94588
23.065 0.262387 -0.00342382 -0.00188496 3.94519
23.07 0.276944 -0.00214852 -0.00188496 3.95497
23.075 0.21464 -0.0120941 -0.00188496 3.94907
23.08 0.223365 -0.00447109 -0.00188496 3.94751
23.085 0.220617 -0.00562208 -0.00188496 3.94638
23.09 0.167587 -0.0127904 -0.00188496 3.94556
23.095 0.116002 -0.0147991 -0.00188496 3.94496
23.1 0.111488 -0.0103738 -0.00188496 3.94452
23.105 0.116329 -0.00902713 -0.00219911 3.9442
23.11 0.10295 -0.0116814 -0.00219911 3.95425
23.115 0.170589 -0.000722457 -0.00219911 3.94854
