# Generated from ../data/13JUL2013/000.dat
time hw_button steer steer_est v v_c
26.32 1 -0.0128805 -0.0105457 1.99168 2
26.34 1 -0.0122522 -0.00962313 1.98905 2
26.36 1 -0.0113097 -0.00834317 1.98579 2
26.38 1 -0.0106814 -0.00753494 1.98487 2
26.4 1 -0.0103673 -0.00701249 1.99187 2
26.42 1 -0.00942478 -0.00612081 1.97882 2
26.44 1 -0.00879646 -0.00514179 1.98649 2
26.46 1 -0.0084823 -0.00456762 1.98758 2
26.48 1 -0.00753982 -0.00413388 1.97509 2
26.5 1 -0.00628319 -0.00315751 1.97515 2
26.52 1 -0.00534071 -0.00185129 1.97265 2
26.54 1 -0.00534071 -0.00116596 1.96167 2
26.56 1 -0.00534071 -0.00112731 1.98021 2
26.58 1 -0.00408407 -0.000519925 1.97554 2
26.6 1 -0.00219911 0.00115714 1.98305 2
26.62 1 -0.00125664 0.00243096 1.98662 2
26.64 1 -0.000628319 0.00302361 1.98985 2
26.66 1 -0.000628319 0.00350879 1.97825 2
26.68 1 -0.000314159 0.0036034 1.98381 2
26.7 1 0.000314159 0.00354651 1.97402 2
26.72 1 0.00125664 0.00409933 1.98262 2
26.74 1 0.00188496 0.0047451 1.97369 2
26.76 1 0.0015708 0.00485454 1.98252 2
26.78 1 0.00125664 0.00464361 1.96891 2
26.8 1 0.0015708 0.00456068 1.98118 2
26.82 1 0.00219911 0.00479964 1.97328 2
26.84 1 0.00219911 0.00490798 1.97212 2
26.86 1 0.00219911 0.00487014 1.97179 2
26.88 1 0.00219911 0.00505365 1.99019 2
26.9 1 0.00251327 0.00543267 1.97582 2
26.92 1 0.00282743 0.00567169 1.98787 2
26.94 1 0.00314159 0.00573095 1.97992 2
26.96 1 0.00345575 0.0058648 1.98902 2
26.98 1 0.00345575 0.00612161 1.97549 2
27 1 0.00345575 0.00625954 1.97749 2
27.02 1 0.00345575 0.00637261 1.97331 2
27.04 1 0.00345575 0.00656676 1.98716 2
27.06 1 0.00376991 0.00712832 1.97022 2
27.08 1 0.00408407 0.00761705 1.98629 2
27.1 1 0.00408407 0.007712 1.97947 2
27.12 1 0.00439823 0.00789471 1.97861 2
27.14 1 0.00471239 0.00819112 1.96888 2
27.16 1 0.00439823 0.00816925 1.97434 2
27.18 1 0.00471239 0.00829988 1.96421 2
27.2 1 0.00502655 0.00889847 1.96957 2
27.22 1 0.00565487 0.00951005 1.96762 2
27.24 1 0.00628319 0.00999792 1.97053 2
27.26 1 0.00659734 0.0104108 1.96883 2
27.28 1 0.0069115 0.0106341 1.97684 2
27.3 1 0.00722566 0.0110076 1.97061 2
27.32 1 0.00753982 0.0114221 1.96108 2
