# Generated from ../data/13JUL2013/007.dat
freq T_s gyro_x steer v
0 1 0.0169677 0.0235679 27.0319
0.09995 1 0.106692 0.0069491 1.02097
0.1999 1 0.115018 0.104412 0.478281
0.29985 1 0.18136 0.0889353 0.344451
0.3998 1 0.154227 0.0418084 0.533703
0.49975 1 0.0878214 0.041416 0.425123
0.5997 1 0.0803884 0.0245578 0.323045
0.69965 1 0.0164668 0.02816 0.184821
0.7996 1 0.0590391 0.0115812 0.191623
0.89955 1 0.0719315 0.0203794 0.709778
0.9995 1 0.0485401 0.0344281 0.31835
1.09945 1 0.0638982 0.0136626 0.476363
1.1994 1 0.0626123 0.0107923 0.146642
1.29935 1 0.0761446 0.0263943 0.041809
1.3993 1 0.0544413 0.0177583 0.0879534
1.49925 1 0.050756 0.0210532 0.285662
1.5992 1 0.0696335 0.0114445 0.30187
1.69915 1 0.0645285 0.019167 0.0628343
1.7991 1 0.0610092 0.0201276 0.0801934
1.89905 1 0.0709111 0.0274708 0.04769
1.999 1 0.0309259 0.0211705 0.441289
2.09895 1 0.289847 0.238974 3.87036
2.1989 1 0.0253629 0.0815728 0.658485
2.29885 1 0.0608645 0.011791 0.0642329
2.3988 1 0.0703101 0.0384293 0.12204
2.49875 1 0.0502181 0.0414677 0.149261
2.5987 1 0.0515003 0.0234215 0.043508
2.69865 1 0.0446615 0.0279423 0.492874
2.7986 1 0.060955 0.0143837 0.108916
2.89855 1 0.0603138 0.0290573 0.163071
2.9985 1 0.0458956 0.0348598 0.213384
3.09845 1 0.0524261 0.0218952 0.173769
3.1984 1 0.0514533 0.0172592 0.107312
3.29835 1 0.0509283 0.0406317 0.290777
3.3983 1 0.0601606 0.0251235 0.123913
3.49825 1 0.0551012 0.0100397 0.0321632
3.5982 1 0.0473564 0.0248289 0.0727836
3.69815 1 0.0437207 0.022047 0.171318
3.7981 1 0.0751691 0.0237324 0.259723
3.89805 1 0.0622214 0.0145755 0.0938948
3.998 1 0.060507 0.0248023 0.263347
4.09795 1 0.0615359 0.0187926 0.115297
4.1979 1 0.0598088 0.0185405 0.228715
4.29785 1 0.0580312 0.0202128 0.0469576
4.3978 1 0.0539183 0.0309113 0.193669
4.49775 1 0.0547918 0.00815665 0.109296
4.5977 1 0.0576959 0.0115362 0.0140339
4.69765 1 0.0500971 0.0133354 0.207105
4.7976 1 0.0452081 0.0290784 0.0993269
4.89755 1 0.0881308 0.0231268 0.45831
4.9975 1 0.0572172 0.0213876 0.133822
5.09745 1 0.0436928 0.0257355 0.266767
5.1974 1 0.0656476 0.0116406 0.579855
5.29735 1 0.0699086 0.0262723 0.396264
5.3973 1 0.0486542 0.0241828 0.246923
5.49725 1 0.0439609 0.0174991 0.0805753
5.5972 1 0.0549384 0.0138993 0.118174
5.69715 1 0.0486079 0.0275573 0.106276
5.7971 1 0.0476451 0.0196823 0.132637
5.89705 1 0.0589739 0.0344836 0.0720297
5.997 1 0.0456151 0.037726 0.195022
6.09695 1 0.0416355 0.031276 0.0555314
6.1969 1 0.0711054 0.060138 0.222911
6.29685 1 0.0494802 0.0507435 0.321969
6.3968 1 0.048831 0.0372872 0.0998346
