# Generated from ../data/13JUL2013/025.dat
time T_s gyro_x steer v
40 0.0827364 -0.00830309 -0.0282743 2.0037
40.02 0.118791 0.00585176 -0.0289027 2.00662
40.04 0.278413 0.0122383 -0.0298451 2.0165
40.06 0.162615 -0.000851614 -0.0304734 2.01822
40.08 0.0928839 -0.000455137 -0.0307876 2.00619
40.1 0.321259 0.011739 -0.0307876 2.00955
40.12 0.280306 0.00740448 -0.0311018 2.02078
40.14 0.0767588 -0.00450196 -0.0311018 2.01468
40.16 0.182615 0.0108638 -0.0314159 2.02368
40.18 0.31142 0.0140354 -0.0317301 2.02874
40.2 0.154993 -0.00184096 -0.0314159 2.02166
40.22 0.0782747 0.00218609 -0.0317301 2.03594
40.24 0.309786 0.01496 -0.0317301 2.03113
40.26 0.295076 0.00512291 -0.0317301 2.00982
40.28 0.0332109 -0.00170039 -0.0317301 2.03367
40.3 0.227443 0.0163459 -0.0320442 2.01768
40.32 0.427736 0.0148641 -0.0317301 2.00458
40.34 0.132855 0.00281833 -0.0314159 2.01161
40.36 0.265046 0.0179594 -0.0314159 2.00885
40.38 0.438937 0.0174367 -0.0311018 2.01238
40.4 0.195939 0.00990339 -0.0307876 2.01958
40.42 0.28907 0.0180534 -0.0301593 2.00405
40.44 0.465697 0.0178694 -0.029531 2.01577
40.46 0.30937 0.00745587 -0.0282743 2.02399
40.48 0.262829 0.0173329 -0.0273319 2.0053
40.5 0.28513 0.0122391 -0.0267035 2.03239
40.52 0.361339 0.0145791 -0.0257611 2.01732
40.54 0.425031 0.0232936 -0.0248186 2.00448
40.56 0.401654 0.0175242 -0.0238761 2.03216
40.58 0.309236 0.012072 -0.0226195 2.01726
40.6 0.369733 0.020131 -0.0213628 2.01475
40.62 0.392523 0.0198171 -0.0204204 2.02845
40.64 0.301957 0.0153832 -0.0188496 2.00907
40.66 0.250022 0.00392857 -0.0169646 2.01244
40.68 0.373144 0.017171 -0.015708 2.00679
40.7 0.380858 0.017296 -0.0141372 1.99123
40.72 0.317282 0.0109286 -0.0128805 1.97718
40.74 0.340544 0.0141879 -0.0113097 1.98395
40.76 0.471175 0.0197275 -0.00942478 1.98542
40.78 0.377533 0.010417 -0.00753982 1.98952
40.8 0.27734 0.0102779 -0.00596903 1.99319
40.82 0.385208 0.0160165 -0.00439823 1.99516
40.84 0.522817 0.018391 -0.00282743 1.99824
40.86 0.236569 0.000935796 -0.000942478 1.9909
40.88 0.22044 0.00756324 0.000628319 1.97855
40.9 0.231901 0.00657155 0.00188496 1.98641
40.92 0.24696 0.00665558 0.00314159 1.98074
40.94 0.360318 0.00663855 0.00408407 1.97423
40.96 0.247704 0.00235929 0.00565487 1.97837
40.98 0.178064 -0.000603364 0.00659734 1.97608
41 0.364697 0.00904653 0.00753982 1.97889
41.02 0.312666 0.00142034 0.00879646 1.97371
41.04 0.0938905 -0.00636892 0.0100531 1.97477
41.06 0.10814 -0.00357261 0.0113097 1.97254
41.08 0.376039 0.00330259 0.0122522 1.9779
41.1 0.156271 -0.00562796 0.0131947 1.97343
41.12 0.0377408 -0.00756356 0.013823 1.97814
41.14 0.196644 -0.00341642 0.0144513 1.97601
41.16 0.150159 -0.00828466 0.0150796 1.97542
41.18 0.0332571 -0.0092337 0.0153938 1.97273
41.2 0.123214 -0.00591175 0.0147655 1.97449
41.22 0.175919 -0.0111 0.0147655 1.96995
41.24 0.120783 -0.00954216 0.0150796 1.97716
41.26 0.11933 -0.00846429 0.0150796 1.97574
41.28 0.0621722 -0.0148761 0.0147655 1.97534
41.3 0.145274 -0.00937836 0.0147655 1.98299
41.32 0.214978 -0.00431114 0.0147655 1.96351
41.34 0.0785935 -0.0154591 0.0147655 1.96792
41.36 -0.0409697 -0.0230077 0.0147655 1.96033
41.38 0.0795913 -0.0148824 0.0147655 1.96954
41.4 0.0968411 -0.00689711 0.0144513 1.97107
41.42 -0.066129 -0.0254652 0.0144513 1.97625
41.44 0.099432 -0.0171996 0.0141372 1.96476
41.46 0.149606 -0.00947887 0.0141372 1.96973
41.48 0.102741 -0.0167143 0.0141372 1.96767
41.5 0.0572804 -0.021149 0.0141372 1.96709
41.52 -0.0414932 -0.0171059 0.013823 1.96692
41.54 0.0623905 -0.0117906 0.013823 1.97631
41.56 0.0846284 -0.0209373 0.0141372 1.97298
41.58 -0.0882983 -0.02493 0.013823 1.97455
41.6 0.077658 -0.0101135 0.0131947 1.97247
41.62 0.162151 -0.019218 0.0125664 1.97441
41.64 -0.0822899 -0.0289476 0.0122522 1.96991
41.66 -0.0529968 -0.0141018 0.0116239 1.96088
41.68 0.127653 -0.0152142 0.0116239 1.97998
41.7 -0.131975 -0.033756 0.0116239 1.96266
41.72 -0.0743648 -0.0186983 0.0109956 1.9702
41.74 0.0393373 -0.0200269 0.0100531 1.96651
41.76 -0.0270234 -0.0244778 0.00942478 1.97022
41.78 -0.0365342 -0.0185237 0.00911062 1.96306
41.8 0.0375625 -0.0209479 0.00879646 1.96924
41.82 -0.0649926 -0.0277694 0.00785398 1.96501
41.84 -0.12727 -0.0229467 0.0069115 1.96979
41.86 0.114155 -0.0166891 0.00596903 1.97114
41.88 -0.0102001 -0.0288765 0.00471239 1.96124
41.9 -0.140113 -0.0264255 0.00345575 1.97756
41.92 0.0151239 -0.0187624 0.00188496 1.96198
41.94 0.108549 -0.0191225 0.000628319 1.95972
